season,team,salary_cap,total_salary
1990,Atlanta Hawks,11871000,11761000
1990,Boston Celtics,11871000,11256000
1990,Charlotte Hornets,11871000,10417000
1990,Chicago Bulls,11871000,10040000
1990,Cleveland Cavaliers,11871000,14403000
1990,Dallas Mavericks,11871000,11693000
1990,Denver Nuggets,11871000,10335000
1990,Detroit Pistons,11871000,12910000
1990,Golden State Warriors,11871000,11150000
1990,Houston Rockets,11871000,10500000
1990,Indiana Pacers,11871000,10981000
1990,Los Angeles Clippers,11871000,10245000
1990,Los Angeles Lakers,11871000,12120000
1990,Miami Heat,11871000,8510000
1990,Milwaukee Bucks,11871000,11595000
1990,Minnesota Timberwolves,11871000,7540000
1990,New Jersey Nets,11871000,11410000
1990,New York Knicks,11871000,13290000
1990,Orlando Magic,11871000,7532000
1990,Philadelphia 76ers,11871000,11640000
1990,Phoenix Suns,11871000,11463000
1990,Portland Trailblazers,11871000,11215000
1990,Sacramento Kings,11871000,9605000
1990,San Antonio Spurs,11871000,11057000
1990,Seattle SuperSonics,11871000,10590000
1990,Utah Jazz,11871000,10695000
1990,Washington Bullets,11871000,9610000
1991,Atlanta Hawks,12500000,12930000
1991,Boston Celtics,12500000,25343000
1991,Charlotte Hornets,12500000,12625000
1991,Chicago Bulls,12500000,16829000
1991,Cleveland Cavaliers,12500000,16882000
1991,Dallas Mavericks,12500000,13004000
1991,Denver Nuggets,12500000,11879000
1991,Detroit Pistons,12500000,15428000
1991,Golden State Warriors,12500000,12500000
1991,Houston Rockets,12500000,13274000
1991,Indiana Pacers,12500000,15090000
1991,Los Angeles Clippers,12500000,12976000
1991,Los Angeles Lakers,12500000,15673000
1991,Miami Heat,12500000,11514000
1991,Milwaukee Bucks,12500000,12451000
1991,Minnesota Timberwolves,12500000,10763000
1991,New Jersey Nets,12500000,12598000
1991,New York Knicks,12500000,12399000
1991,Orlando Magic,12500000,12250000
1991,Philadelphia 76ers,12500000,14058000
1991,Phoenix Suns,12500000,13593000
1991,Portland Trailblazers,12500000,12742000
1991,Sacramento Kings,12500000,12492000
1991,San Antonio Spurs,12500000,11587000
1991,Seattle SuperSonics,12500000,13308000
1991,Utah Jazz,12500000,12761000
1991,Washington Bullets,12500000,12633000
1992,Atlanta Hawks,14000000,18036000
1992,Boston Celtics,14000000,25217000
1992,Charlotte Hornets,14000000,14150000
1992,Chicago Bulls,14000000,18536000
1992,Cleveland Cavaliers,14000000,19676000
1992,Dallas Mavericks,14000000,10859000
1992,Denver Nuggets,14000000,13776180
1992,Detroit Pistons,14000000,13954000
1992,Golden State Warriors,14000000,15473000
1992,Houston Rockets,14000000,15877000
1992,Indiana Pacers,14000000,16268000
1992,Los Angeles Clippers,14000000,14288000
1992,Los Angeles Lakers,14000000,18851000
1992,Miami Heat,14000000,15125000
1992,Milwaukee Bucks,14000000,14032000
1992,Minnesota Timberwolves,14000000,13732000
1992,New Jersey Nets,14000000,16314000
1992,New York Knicks,14000000,14001000
1992,Orlando Magic,14000000,14970000
1992,Philadelphia 76ers,14000000,17367000
1992,Phoenix Suns,14000000,14280000
1992,Portland Trailblazers,14000000,16369000
1992,Sacramento Kings,14000000,13953000
1992,San Antonio Spurs,14000000,18083000
1992,Seattle SuperSonics,14000000,14033000
1992,Utah Jazz,14000000,14517000
1992,Washington Bullets,14000000,17249000
1993,Atlanta Hawks,15175000,22510000
1993,Boston Celtics,15175000,17881000
1993,Charlotte Hornets,15175000,17952000
1993,Chicago Bulls,15175000,18531000
1993,Cleveland Cavaliers,15175000,23711000
1993,Dallas Mavericks,15175000,14321000
1993,Denver Nuggets,15175000,16110000
1993,Detroit Pistons,15175000,15826000
1993,Golden State Warriors,15175000,19239000
1993,Houston Rockets,15175000,16757000
1993,Indiana Pacers,15175000,17196000
1993,Los Angeles Clippers,15175000,20188000
1993,Los Angeles Lakers,15175000,23478000
1993,Miami Heat,15175000,17811000
1993,Milwaukee Bucks,15175000,14889000
1993,Minnesota Timberwolves,15175000,15496000
1993,New Jersey Nets,15175000,20107000
1993,New York Knicks,15175000,22109000
1993,Orlando Magic,15175000,19939000
1993,Philadelphia 76ers,15175000,15354000
1993,Phoenix Suns,15175000,21485000
1993,Portland Trailblazers,15175000,23534000
1993,Sacramento Kings,15175000,17397000
1993,San Antonio Spurs,15175000,19316365
1993,Seattle SuperSonics,15175000,15967000
1993,Utah Jazz,15175000,16990000
1993,Washington Bullets,15175000,16240000
1994,Atlanta Hawks,15964000,21869340
1994,Boston Celtics,15964000,24462000
